|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 40 |               0.0 |               0.0 |               0.0 | 0.022707789649255863 |   0.0183673024364747 |  2.409095781215888 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 12.358681638812257 | 12.358681638812257 |  22.16868163881226 |       0.0 |       0.0 |     0.0 |  0.4456741965239547 | 0.45035029078955247 |  0.4454293234612021 |  0.4505461891956043 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 41 |               0.0 |               0.0 |               0.0 |  0.02287208662672462 |  0.01849875102132164 |  2.443630173661624 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 12.447593018322618 | 12.447593018322618 | 22.257593018322616 |       0.0 |       0.0 |     0.0 | 0.44887419639763315 | 0.45355029075137404 | 0.44862932360207264 |  0.4537461892483317 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 42 |               0.0 |               0.0 |               0.0 | 0.023036331243291387 |  0.01863017543901389 | 2.4784103271031124 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 12.536504397228518 | 12.536504397228518 | 22.346504397228518 |       0.0 |       0.0 |     0.0 | 0.45207419670218413 | 0.45675029080192026 | 0.45182932331221753 | 0.45694618921248137 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 43 |               0.0 |               0.0 |               0.0 |  0.02320065713393677 | 0.018761582998069244 |  2.513436241774871 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 12.625415776136455 | 12.625415776136455 | 22.435415776136455 |       0.0 |       0.0 |     0.0 |  0.4552741962210591 |  0.4599502908238944 |  0.4550293238081871 |  0.4601461892053518 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 44 |               0.0 |               0.0 |               0.0 | 0.023364833875210326 | 0.018892995966691334 | 2.5487079176778433 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 12.714327155046458 | 12.714327155046458 | 22.524327155046457 |       0.0 |       0.0 |     0.0 | 0.45847419676777235 | 0.46315029080933695 | 0.45822932323237153 |  0.4633461891908069 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 45 |               0.0 |               0.0 |               0.0 | 0.023529211051347778 |  0.01902441172295625 | 2.5842253545655507 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 12.803238533345935 | 12.803238533345935 | 22.613238533345935 |       0.0 |       0.0 |     0.0 | 0.46167419633383483 |  0.4663502909366447 | 0.46142932368100925 | 0.46654618907819934 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 46 |               0.0 |               0.0 |               0.0 | 0.023693395724751033 | 0.019155804018907305 |  2.619988552925595 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 12.892149912253933 | 12.892149912253933 | 22.702149912253933 |       0.0 |       0.0 |     0.0 |   0.464874196457136 | 0.46955029066364146 |  0.4646293234843636 |  0.4697461892778581 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 47 |               0.0 |               0.0 |               0.0 | 0.023857696372133575 | 0.019287266148213567 |  2.655997512019185 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 |  12.98106128993878 |  12.98106128993878 |  22.79106128993878 |       0.0 |       0.0 |     0.0 |  0.4680741964262785 |   0.472750290884082 |  0.4678293235734258 |  0.4729461891156223 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 48 |               0.0 |               0.0 |               0.0 | 0.024021954301370795 | 0.019418644127946593 |  2.692252233082603 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 13.069972669451161 | 13.069972669451161 | 22.879972669451163 |       0.0 |       0.0 |     0.0 |  0.4712741967237848 | 0.47595029072080375 | 0.47102932333471215 | 0.47614618933769315 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 49 |               0.0 |               0.0 |               0.0 | 0.024186276877006554 |   0.0195500982409167 |  2.728752715383548 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 13.158884048971707 | 13.158884048971707 |  22.96888404897171 |       0.0 |       0.0 |     0.0 | 0.47447419626610826 |  0.4791502909430184 | 0.47422932373418397 |  0.4793461890572738 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 50 |               0.0 |               0.0 |               0.0 | 0.024350461610602996 |  0.01968146365473846 |  2.765498958242933 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 13.247795426866881 | 13.247795426866881 | 23.057795426866882 |       0.0 |       0.0 |     0.0 | 0.47767419676919154 |  0.4823502906771582 | 0.47742932323110354 | 0.48254618932313686 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 51 |               0.0 |               0.0 |               0.0 |  0.02451483173597983 | 0.019812933008932106 | 2.8024909626651673 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 |   13.3367068055707 |   13.3367068055707 |   23.1467068055707 |       0.0 |       0.0 |     0.0 |   0.480874196170599 | 0.48555029092066865 |  0.4806293238150001 | 0.48574618906493044 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 52 |               0.0 |               0.0 |               0.0 | 0.024678982631814284 |  0.01994429786216298 | 2.8397287282295163 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 13.425618184070315 | 13.425618184070315 | 23.235618184070315 |       0.0 |       0.0 |     0.0 |  0.4840741966256199 |  0.4887502908039472 | 0.48382932338923146 |  0.4889461892109041 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 53 |               0.0 |               0.0 |               0.0 | 0.024843341269901627 | 0.020075740380374466 | 2.8772122552803174 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 13.514529563180476 | 13.514529563180476 | 23.324529563180477 |       0.0 |       0.0 |     0.0 |  0.4872741964586619 |  0.4919502906924282 | 0.48702932342404937 |   0.492146189190283 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 54 |               0.0 |               0.0 |               0.0 |  0.02500759052888182 |  0.02020716552664285 | 2.9149415426076564 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 |  13.60344094004851 |  13.60344094004851 |  23.41344094004851 |       0.0 |       0.0 |     0.0 | 0.49047419666651204 |  0.4951502908076334 |  0.4902293234501969 |  0.4953461893090755 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 55 |               0.0 |               0.0 |               0.0 |  0.02517187894643415 | 0.020338581737609256 |  2.952916593332979 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 13.692352322003076 | 13.692352322003076 | 23.502352322003077 |       0.0 |       0.0 |     0.0 | 0.49367419604207907 |  0.4983502910775329 |  0.4934293239582175 |  0.4985461889227636 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 56 |               0.0 |               0.0 |               0.0 |  0.02533603162777195 |  0.02046992900193099 |  2.991137403205112 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 13.781263699089607 | 13.781263699089607 |  23.59126369908961 |       0.0 |       0.0 |     0.0 |  0.4968741969283103 |  0.5015502905457938 |  0.4966293230719892 |  0.5017461894545057 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 57 |               0.0 |               0.0 |               0.0 |  0.02550048530231752 | 0.020601456237480907 | 3.0296039750006902 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 13.870175077793423 | 13.870175077793423 |  23.68017507779342 |       0.0 |       0.0 |     0.0 |  0.5000741963567165 |  0.5047502910022457 |  0.4998293236729837 |  0.5049461890274545 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 58 |               0.0 |               0.0 |               0.0 | 0.025664632690908174 |   0.0207327788422828 |  3.068316308201504 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 13.959086456905647 | 13.959086456905647 | 23.769086456905647 |       0.0 |       0.0 |     0.0 |   0.503274196413481 |  0.5079502904991673 |  0.5030293234989278 |  0.5081461894132415 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 59 |               0.0 |               0.0 |               0.0 | 0.025828926532524225 | 0.020864289025489546 | 3.1072744017397036 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 14.047997833979966 | 14.047997833979966 | 23.857997833979965 |       0.0 |       0.0 |     0.0 |  0.5064741965915209 |  0.5111502910598396 |  0.5062293233787987 |    0.51134618891048 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 60 |               0.0 |               0.0 |               0.0 | 0.025993227837359512 | 0.020995591164805417 |  3.146478257571583 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 14.136909213488265 | 14.136909213488265 | 23.946909213488265 |       0.0 |       0.0 |     0.0 |  0.5096741963238669 |  0.5143502907667088 |   0.509429323763744 |   0.514546189320902 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 61 |               0.0 |               0.0 |               0.0 |  0.02615742798213433 |  0.02112708244285925 |  3.185927875006527 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 14.225820593821497 | 14.225820593821497 | 24.035820593821498 |       0.0 |       0.0 |     0.0 |  0.5128741965608954 |    0.51755029082737 |  0.5126293232336225 |  0.5177461889671479 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 62 |               0.0 |               0.0 |               0.0 |  0.02632177985166208 |  0.02125845333687655 | 3.2256232511241514 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 |  14.31473196845351 |  14.31473196845351 |  24.12473196845351 |       0.0 |       0.0 |     0.0 |  0.5160741965758219 |  0.5207502906005698 |  0.5158293236575878 |  0.5209461896328399 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 63 |               0.0 |               0.0 |               0.0 | 0.026486005550013226 | 0.021389966389503325 |  3.265564393032374 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 |  14.40364335325455 |  14.40364335325455 |  24.21364335325455 |       0.0 |       0.0 |     0.0 |  0.5192741963990994 |  0.5239502910446747 |  0.5190293235426897 |  0.5241461888971144 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 64 |               0.0 |               0.0 |               0.0 | 0.026650268469248263 | 0.021521252960085367 | 3.3057512915991145 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 14.492554727907017 | 14.492554727907017 | 24.302554727907015 |       0.0 |       0.0 |     0.0 |  0.5224741966510532 |  0.5271502908266789 |  0.5222293233783414 |  0.5273461892027157 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 65 |               0.0 |               0.0 |               0.0 | 0.026814583671983656 | 0.021652726236047026 | 3.3461839537775573 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 14.581466107827843 | 14.581466107827843 | 24.391466107827846 |       0.0 |       0.0 |     0.0 |  0.5256741959518055 |  0.5303502907227126 |  0.5254293239896927 |  0.5305461892187856 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 66 |               0.0 |               0.0 |               0.0 | 0.026978709167849328 |  0.02178415533442731 | 3.3868623760725387 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 14.670377485310528 | 14.670377485310528 | 24.480377485310527 |       0.0 |       0.0 |     0.0 |  0.5288741974492633 |   0.533550290734141 |  0.5286293226386328 |  0.5337461893537552 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 67 |               0.0 |               0.0 |               0.0 | 0.027143293931087293 |  0.02191558499076848 | 3.4277865610912266 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 14.759288866048125 | 14.759288866048125 | 24.569288866048126 |       0.0 |       0.0 |     0.0 |  0.5320741955441046 |  0.5367502910467885 |   0.531829324456486 |  0.5369461889538021 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 68 |               0.0 |               0.0 |               0.0 | 0.027307149676590196 |  0.02204692070623435 |  3.468956505842564 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 14.848200243539019 | 14.848200243539019 |  24.65820024353902 |       0.0 |       0.0 |     0.0 |  0.5352741971647409 |  0.5399502906041261 |  0.5350293228358555 |  0.5401461893964702 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 69 |               0.0 |               0.0 |               0.0 | 0.027471781732664482 | 0.022178436375178832 | 3.5103722123831695 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 14.937111622242877 | 14.937111622242877 | 24.747111622242876 |       0.0 |       0.0 |     0.0 |  0.5384741960164873 |  0.5431502909882842 |  0.5382293239253194 |  0.5433461889535225 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 70 |               0.0 |               0.0 |               0.0 | 0.027635799788158593 | 0.022309758210665817 |  3.552033679767704 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 15.026023000129921 | 15.026023000129921 |  24.83602300012992 |       0.0 |       0.0 |     0.0 |   0.541674196617725 |  0.5463502907096998 |  0.5414293232940961 |  0.5465461892021213 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 71 |               0.0 |               0.0 |               0.0 | 0.027800208807804483 | 0.022441234078169683 | 3.5939409085666925 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 15.114934378417129 | 15.114934378417129 | 24.924934378417127 |       0.0 |       0.0 |     0.0 |  0.5448741967256218 |  0.5495502905104198 |  0.5446293233910932 |  0.5497461896062951 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 72 |               0.0 |               0.0 |               0.0 | 0.027964479985009574 |  0.02257271944616599 |  3.636093900144103 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 15.203845759967374 | 15.203845759967374 | 25.013845759967374 |       0.0 |       0.0 |     0.0 |  0.5480741961329475 |  0.5527502912211931 |   0.547829323867355 |  0.5529461887791093 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 73 |               0.0 |               0.0 |               0.0 | 0.028128627127206728 |  0.02270395743369445 | 3.6784926508286167 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 15.292757137053902 | 15.292757137053902 | 25.102757137053903 |       0.0 |       0.0 |     0.0 |  0.5512741969154288 |  0.5559502908274414 |  0.5510293232318656 |  0.5561461893198529 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 74 |               0.0 |               0.0 |               0.0 |  0.02829306018279256 |  0.02283548157207938 | 3.7211371644959463 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 15.381668517799751 | 15.381668517799751 |  25.19166851779975 |       0.0 |       0.0 |     0.0 |  0.5544741958655842 |  0.5591502909645625 |  0.5542293239598218 |  0.5593461888608435 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 75 |               0.0 |               0.0 |               0.0 |  0.02845712374089787 | 0.022966827505945468 |  3.764027436250797 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 15.470579892031726 | 15.470579892031726 | 25.280579892031724 |       0.0 |       0.0 |     0.0 |  0.5576741972574506 |  0.5623502899806138 |  0.5574293226249871 |  0.5625461899018239 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 76 |               0.0 |               0.0 |               0.0 |   0.0286217114237411 | 0.023098481695864204 |  3.807163471773414 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 15.559491271527811 | 15.559491271527811 | 25.369491271527814 |       0.0 |       0.0 |     0.0 |  0.5608741959001398 |   0.565550291333832 |  0.5606293242162927 |  0.5657461887826005 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 77 |               0.0 |               0.0 |               0.0 | 0.028785635613431206 | 0.023229605306031135 |   3.85054526972736 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 15.648402653482337 | 15.648402653482337 | 25.458402653482338 |       0.0 |       0.0 |     0.0 |  0.5640741963630888 |  0.5687502911712976 |  0.5638293235193373 |  0.5689461887111285 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 78 |               0.0 |               0.0 |               0.0 | 0.028950041564062393 | 0.023361031290477292 | 3.8941728257313266 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 15.737314028935204 | 15.737314028935204 | 25.547314028935205 |       0.0 |       0.0 |     0.0 |   0.567274197017018 |  0.5719502901599701 |  0.5670293232169942 |   0.572146190074042 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 79 |               0.0 |               0.0 |               0.0 | 0.029114424874979575 | 0.023492731212736317 |  3.938046146974902 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 15.826225412523357 | 15.826225412523357 |  25.63622541252336 |       0.0 |       0.0 |     0.0 |  0.5704741961957622 |  0.5751502912821572 |  0.5702293235702485 |  0.5753461884838534 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 80 |               0.0 |               0.0 |               0.0 |  0.02927855467773911 |  0.02362382089353066 |  3.982165223802178 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 15.915136784725469 | 15.915136784725469 |  25.72513678472547 |       0.0 |       0.0 |     0.0 |  0.5736741963961087 |  0.5783502906062975 |  0.5734293236615167 |  0.5785461894513279 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 81 |               0.0 |               0.0 |               0.0 |  0.02944283725938587 | 0.023755435140652245 |  4.026530067108217 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 16.004048167480473 | 16.004048167480473 | 25.814048167480472 |       0.0 |       0.0 |     0.0 |  0.5768741970220546 |  0.5815502905687364 |  0.5766293230949486 |  0.5817461895482667 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 82 |               0.0 |               0.0 |               0.0 | 0.029607250977597373 |  0.02388686760869897 |  4.071140670039873 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 |  16.09295954700915 |  16.09295954700915 | 25.902959547009154 |       0.0 |       0.0 |     0.0 |  0.5800741955692675 |  0.5847502913119192 |  0.5798293243725307 |  0.5849461886298789 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 83 |               0.0 |               0.0 |               0.0 | 0.029771189349669495 | 0.024018080044321027 | 4.1159970325547395 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 |  16.18187092327891 |  16.18187092327891 |  25.99187092327891 |       0.0 |       0.0 |     0.0 |  0.5832741975201665 |  0.5879502904868895 |  0.5830293225386347 |  0.5881461895719117 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 84 |               0.0 |               0.0 |               0.0 |  0.02993592054354588 |  0.02414971292584546 |  4.161099158352916 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 |  16.27078230360814 |  16.27078230360814 |  26.08078230360814 |       0.0 |       0.0 |     0.0 |  0.5864741956928754 |  0.5911502910773406 |  0.5862293242489285 |  0.5913461888644632 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 85 |               0.0 |               0.0 |               0.0 | 0.030099756737702075 | 0.024280968280141396 |  4.206447043723942 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 16.359693680686547 | 16.359693680686547 |  26.16969368068655 |       0.0 |       0.0 |     0.0 |  0.5896741971980363 |    0.59435029045569 |  0.5894293228019752 |  0.5945461895443215 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 86 |               0.0 |               0.0 |               0.0 | 0.030264390261605715 | 0.024412545829667072 |  4.252040691568281 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 | 16.448605060198965 | 16.448605060198965 | 26.258605060198967 |       0.0 |       0.0 |     0.0 |  0.5928741956590098 |  0.5975502909235312 |   0.592629324458593 |  0.5977461891940715 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
| 87 |               0.0 |               0.0 |               0.0 |  0.03042826381308563 |  0.02454385956446016 |  4.297880101070961 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 |  16.53751644053637 |  16.53751644053637 | 26.347516440536367 |       0.0 |       0.0 |     0.0 |  0.5960741974014208 |  0.6007502911352943 |  0.5958293227761648 |  0.6009461890422912 |
